text,author
"“Good night,” said the younger waiter.",prajwal
"“Nothing,” said Wilson.",prajwal
"""The edge of a piece of goods that ain't hemmed,"" said the shop-girl.",Henry
"Stars are good, too.",Twain
"The waiter watched him go down the street, a very old man walking unsteadily but with dignity.",prajwal
"It IS a good friend to me, and my only one; it is my sister.",Twain
He knew he could not stop it now.,prajwal
He opened and emptied a can of pork and beans and a can of spaghetti into the frying pan.,prajwal
"He could hear the men talking and he waited, gathering all of himself into this preparation for a charge as soon as the men would come into the grass.",prajwal
asked the barman.,prajwal
“You had better move over to the other side.,prajwal
"Hers was a sharp, sinewy shoulder; but all her life people had laid their heads upon it, metaphorically or actually, and had left there all or half their troubles.",Henry
"""I mean you,"" said Hetty.",Henry
"You ought to be ashamed of yourself you are big enough to know better"".",Twain
Already there was something mysterious and homelike.,prajwal
The gunner asked him outside and they fought in the street on the cobbles in the dark.,prajwal
"""I'll tell them, if they come back, but I am not expecting them.",Twain
It was all that was left of the town of Seney.,prajwal
There are many people who wouldn’t take a room like that if they knew.,Henry
"He nodded and said, “Yes, Bwana”.",prajwal
But one glance in her mirror always served as an instantaneous pain-killer.,Henry
Brother A took him up.,Twain
“Do you think they will send Americans down here”?,prajwal
"<  7  >      I tried to get him some of those apples, but I cannot learn to throw straight.",Twain
Don't cat raw onions.,Henry
"“You’re not supposed to mention it,” Wilson said, looking in the other’s face.",prajwal
"He raged a little bit, but it was of no use, our minds were made up.",Twain
"He fetched another acorn, and done his level best to see what become of it, but he couldn't.",Twain
A jay hasn't got any more principle than a congressman.,Twain
"""If Jim doesn't kill me,"" she said to herself, ""before he takes a second look at me, he'll say I look like a Coney Island chorus girl.",Henry
“But don’t go in if you don’t want to.,prajwal
Talk the whole thing away.,prajwal
"“By God, that, was a chase,” he said.",prajwal
It was my fault.,Henry
"""What for?""",Henry
"""But wait, wait!",Twain
The woman was crying hysterically.,prajwal
"“Don’t worry about me talking,” he said.",prajwal
He looked at the wall.,prajwal
He heard the ca-ra-wong!,prajwal
"This is my shauri now, you know”.",prajwal
“I’m fine.,prajwal
'Come out and have a drink.',Henry
"My mate retorted that a mere impulse was nothing, anyone could pretend to a good impulse, and went on decrying my Unionism and libelling my ancestry.",Twain
I’m no doctor but I know that”.,prajwal
I saw the face of the man wanted by Chicago cops.,Henry
“Just because you say I wouldn’t have doesn’t prove anything”.,prajwal
"It sounds strange to you, doesn’t it?",Henry
"""I'll show you,"" said Tiernan, rising, and expand- ing his chest.",Henry
"It grieves me that he should have a secret from me, and sometimes it spoils my sleep, thinking of it, but I will put it out of my mind; it shall not trouble my happiness, which is otherwise full to overflowing.",Twain
We resolved to stay still and be comfortable.,Twain
"""I didn't know.",Henry
"She nearly strangled, and said it was most uncomfortable.",Twain
"Soapy stepped inside the shop, took the umbrella, and walked slowly away.",Henry
“Do you think we’ve given him time enough”?,prajwal
"It was all lower, as it was at Portogrande, where they had seen them come wallowing across the flooded ground holding the rifles high until they fell with them in the water.",prajwal
"""Never mind, I'll prove it.",Twain
“You can take a nap if you like.,prajwal
Nick went out.,prajwal
said Sue.,Henry
“Aren’t you running a lunch-counter”?,prajwal
"Say, will you quit being funny?",Henry
I was glad enough when I reached my room and locked out the mold and the darkness.,Twain
"They made their way to the car where it stood under a single, wide-spreading tree and all climbed in.",prajwal
His legs were black and blue with bites.,Twain
"He had traded it for security, for comfort too, there was no denying that, and for what else?",prajwal
"From other rooms he heard a woman talking too loudly; and he heard people playing games for money; and he heard a woman singing to a baby, and he heard someone weeping.",Henry
"“The train comes in five minutes,” she said.",prajwal
"""I had just enough money to buy my ferry ticket back to New York.",Henry
"""Who'd have thought old Barney was on my trail!""",Henry
"Lyman called a halt, and there, in the deep gloom of the overhanging branches, he began to whisper a plan of assault upon the house, which made the gloom more depressing than it was before.",Twain
“Would you do something for me now”?,prajwal
